ID_FUNDADOR,NOMBRE_FUNDADOR,APELLIDO_FUNDADOR
010001,Alfonso ,Villegas Restrepo
020002,Fidel ,Cano Gutiérrez
030003,Jan ,Stembeck 
040004,Juan,Tomás de Salas
040005,Daniel,Samper Pizano
050006,Laureano ,Gómez  
050007,José ,de la Vega
060008,Hernando,Suaréz Burgos
070008,Hernando,Suaréz Burgos
080001,Alfonso,Villegas Restrepo
090009,Felipe ,López Caballero
100010,Francisco,de Paula Pérez
110011,Álvaro,Lloreda Caicedo
110012,Alfredo,Lloreda
120013,María Elvira,Bonilla Otoya
120014,Elisa,Pastrana
120015,Adriana,Arcila
120016,León ,Valencia
120017,Natalia,Orozco
120018,Fernando,Otoya
120019,Rafael ,Santos
120020,Jorge Enrique ,Botero
120021,Margarita,Londoño Vélez
120022,Alonso ,Salazar
120023,Adriana,Mejía
120024,Ricardo,Correa
120025,Sergio ,Álvarez
130026,Luis Fernando,Santos
130027,Guillermo,Franco
130028,Gregorio,Márquez
130029,Paula,Barrientos
130030,Joshua,Castaño
130031,Hernando,Paniagua
130032,Diego ,Carvajal
130033,Sofía ,Herrera
140034,Mauricio,Rodríguez Múnera
150035,Mariano,Ospina Pérez
160036,Alberto,Pumarejo
160037,Juan B.,Fernández Ortega
160038,Luis Eduardo,Manotas Llinás
170039,Virgilio ,Barco Vargas
170040,Eustorgio,Colmenares Baptista
170041,Eduardo,Silva
170042,Alirio,Sánchez
170043,León ,Colmenares
180044,Antonio,Melo Salazar
180045,Fernando,Melendez
180046,Julio,Londoño Botero
190047,Alejandro,Galvis Ramírez
190048,María Elvira,Domínguez Lloreda
190049,Martha,Ortiz Gómez
200047,Alejandro,Galvis Ramírez
200048,María Elvira,Domínguez Lloreda
200049,Martha,Ortiz Gómez
210008,Hernando,Suárez Burgos
220008,Hernando,Suárez Burgos
000000,NULL,NULL
000000,NULL,NULL
000000,NULL,NULL
230050,Luis,Amigó
230051,Maira,Arbeláez
230052,Luz Avané,Cataño
230053,Dúber,Cano
240054,Taryn,Escalona
250055,Dickson,Quiroz Torres
250056,Iván Alejandro,Duarte
000000,NULL,NULL
000000,NULL,NULL
260057,William,Salleg Sofán
260058,Olga ,Taboada de Salleg
260059,William,Salleg Taboada
260060,Julio ,Salleg Taboada
260061,Enrique,Salleg Taboada
270062,Domingo,López Escauriaza
270063,Eduardo,Ferrer Ferrer
000000,NULL,NULL
000000,NULL,NULL
000000,NULL,NULL
280064,Maximiliano,Duque Gómez
280065,Max Francisco,Duque Palma
000000,NULL,NULL
000000,NULL,NULL
000000,NULL,NULL
000000,NULL,NULL
290066,Juan Guillermo,Herrera
290067,Jhon,Moreno
000000,NULL,NULL
000000,NULL,NULL
000000,NULL,NULL
000000,NULL,NULL
300068,Alejandro,Galvis Galvis
000000,NULL,NULL
000000,NULL,NULL
310069,José ,Vives de Andreis
320070,Jesús,Oviedo Perez
330071,Emilio,Correa Uribe
000000,NULL,NULL
000000,NULL,NULL
000000,NULL,NULL
000000,NULL,NULL