NOMBRE_RED,ID_RRSS,USUARIO,ACTUALIZACION,SEGUIDORES
Facebook,100101,El Tiempo,29/06/2023,7.500.000
Instagram,200101,eltiempo,30/06/2023,2.600.000
Twitter,300101,ELTIEMPO,30/06/2023,8.500.000
Facebook,100102,Revista Semana,29/06/2023,5.000.000
Instagram,200102,revistasemana,30/06/2023,1.900.000
Twitter,300102,RevistaSemana,30/06/2023,5.300.000
Facebook,100103,Pulzo,29/06/2023,2.500.000
Instagram,200103,pulzo_col,30/06/2023,319.000
Twitter,300103,pulzo,30/06/2023,196.100
Facebook,100104,El Espectador,29/06/2023,5.300.000
Instagram,200104,elespectador,30/06/2023,1.900.000
Twitter,300104,elespectador,30/06/2023,6.600.000
Facebook,100105,Las2orillas,29/06/2023,1.100.000
Instagram,200105,las2orillasrevista,30/06/2023,173.000
Twitter,300105,Las2Orillas,30/06/2023,305.200
Facebook,100106,Publimetro Colombia,29/06/2023,1.100.000
Instagram,200106,publimetrocol,30/06/2023,131.000
Twitter,300106,PublimetroCol,30/06/2023,160.400
Facebook,100107,Cambio,29/06/2023,172.000
Instagram,200107,estoescambio,30/06/2023,99.400
Twitter,300107,estoescambio,30/06/2023,253.200
Facebook,100108,El Nuevo Siglo,29/06/2023,25.000
Instagram,200108,elnuevosiglo,30/06/2023,2.983
Twitter,300108,ElNuevoSiglo,30/06/2023,141.900
Facebook,100109,Extra Colombia,29/06/2023,5.300
Instagram,200109,extracolombianews,30/06/2023,91
Twitter,300109,ExtraColombia,30/06/2023,1.432
Facebook,100110,Diario gratuito ADN Colombia,29/06/2023,280.000
Instagram,200110,adn_colombia,30/06/2023,41.500
Twitter,300110,adncolombia,30/06/2023,292.400
Facebook,100111,Portafolio,29/06/2023,543.000
Instagram,200111,portafolioco,30/06/2023,304.000
Twitter,300111,Portafolioco,30/06/2023,1.400.000
Facebook,100112,Diario La República,29/06/2023,621.000
Instagram,200112,larepublica_co,30/06/2023,160.000
Twitter,300112,larepublica_co,30/06/2023,563.100
Facebook,100113,El Colombiano,29/06/2023,1.300.000
Instagram,200113,elcolombiano_,30/06/2023,814.000
Twitter,300113,elcolombiano,30/06/2023,2.200.000
Facebook,100114,El Heraldo Barranquilla,29/06/2023,922.000
Instagram,200114,elheraldoco,30/06/2023,949.000
Twitter,300114,elheraldoco,30/06/2023,1.200.000
Facebook,100115,Diario del Sur,29/06/2023,57.000
Instagram,200115,diariodelsur_pasto,30/06/2023,2.030
Twitter,300115,HSBnoticias,30/06/2023,28.900
Facebook,100116,Qhubo Cali,29/06/2023,288.000
Instagram,200116,qhubocali,30/06/2023,173.000
Twitter,300116,QhuboCali,30/06/2023,56.200
Facebook,100117,Qhubo Medellin,29/06/2023,865.000
Instagram,200117,qhubomedallo,30/06/2023,373.000
Twitter,300117,QHuboMedallo,30/06/2023,57.000
Facebook,100118,El País Cali,29/06/2023,936.000
Instagram,200118,elpaiscali,30/06/2023,311.000
Twitter,300118,elpaiscali,30/06/2023,753.200
Facebook,100119,La Opinión Cúcuta,29/06/2023,586.000
Instagram,200119,opinioncucuta,30/06/2023,112.000
Twitter,300119,laopinioncucuta,30/06/2023,193.300
Facebook,100120,El Nuevo Día - Colombia,29/06/2023,146.000
Instagram,200120,elnuevodiaibague,30/06/2023,21.500
Twitter,300120,nuevodiaibague,30/06/2023,55.900
Facebook,100121,Diario del Cauca,29/06/2023,8.300
Instagram,200121,diariodelcauca,30/06/2023,1.699
Twitter,300121,HSBnoticias,30/06/2023,28.900
Facebook,100122,El Periódico Deportivo,29/06/2023,2.300
Instagram,200122,NULL,30/06/2023,0
Twitter,300122,PeriodicoDepo,30/06/2023,2.640
Facebook,100123,Proclama Cauca y Valle,29/06/2023,331.000
Instagram,200123,proclamacaucayvalle,30/06/2023,23.500
Twitter,300123,Proclama,30/06/2023,18.500
Facebook,100124,El Deportivo,29/06/2023,98.000
Instagram,200124,NULL,30/06/2023,0
Twitter,300124,ElDeportivo_Col,30/06/2023,48.900
Facebook,100125,Minuto30 ,29/06/2023,1.700.000
Instagram,200125,minuto30,30/06/2023,376.000
Twitter,300125,minuto30com,30/06/2023,750.300
Facebook,100126,El Palpitar,29/06/2023,17.000
Instagram,200126,elpalpitar,30/06/2023,3.788
Twitter,300126,elpalpitar,30/06/2023,3.511
Facebook,100127,ZonaCero,29/06/2023,706.000
Instagram,200127,zonacerooficial,30/06/2023,387.000
Twitter,300127,zonacero,30/06/2023,600.700
Facebook,100128,elpaisvallenato.com,29/06/2023,9.000
Instagram,200128,elpaisvallenato,30/06/2023,11.000
Twitter,300128,elpaisvallenato,30/06/2023,41.400
Facebook,100129,EL PILÓN,29/06/2023,141.000
Instagram,200129,el_pilon,30/06/2023,216.000
Twitter,300129,el_pilon,30/06/2023,139.400
Facebook,100130,Mi Diario Valledupar,29/06/2023,4.300
Instagram,200130,vparmidiario,30/06/2023,1.111
Twitter,300130,MiDiarioVpar,30/06/2023,2.976
Facebook,100131,LA RAZÓN.CO,29/06/2023,248.000
Instagram,200131,larazonco,30/06/2023,106.000
Twitter,300131,LaRazonCo,30/06/2023,71.000
Facebook,100132,El Meridiano,29/06/2023,303.000
Instagram,200132,elmeridiano.co,30/06/2023,68.000
Twitter,300132,elmeridiano_co,30/06/2023,86.000
Facebook,100133,El Universal,29/06/2023,1.300.000
Instagram,200133,eluniversalctg,30/06/2023,256.000
Twitter,300133,ElUniversalCtg,30/06/2023,371.100
Facebook,100134,Diario La Piragua,29/06/2023,48.000
Instagram,200134,diariolapiragua,30/06/2023,22.000
Twitter,300134,DiarioPiragua,30/06/2023,14.800
Facebook,100135,Periodismo Público,29/06/2023,109.000
Instagram,200135,periodismopublico.com_,30/06/2023,4.329
Twitter,300135,periodispublico,30/06/2023,9.365
Facebook,100136,Diario del Huila,29/06/2023,184.000
Instagram,200136,diariodelhuila,30/06/2023,16.900
Twitter,300136,diariodelhuila,30/06/2023,149.900
Facebook,100137,Opanoticias,29/06/2023,127.000
Instagram,200137,opanoticias,30/06/2023,24.300
Twitter,300137,opanoticias,30/06/2023,25.000
Facebook,100138,Hoy Diario del Magdalena,29/06/2023,312.000
Instagram,200138,hoydiariodelmagdalena,30/06/2023,40.800
Twitter,300138,HoyDiarioMag,30/06/2023,33.200
Facebook,100139,Seguimiento.co,29/06/2023,65.000
Instagram,200139,seguimiento,30/06/2023,52.800
Twitter,300139,Seguimiento,30/06/2023,17.500
Facebook,100140,Santa Marta Al Día,29/06/2023,360.000
Instagram,200140,santamartaaldiaoficial,30/06/2023,46.300
Twitter,300140,SantamartaAD,30/06/2023,3.805
Facebook,100141,Periódico del Meta.com,29/06/2023,45.000
Instagram,200141,periodicodmeta,30/06/2023,4.080
Twitter,300141,PeriodicodMeta,30/06/2023,33.800
Facebook,100142,Nariño Hoy,29/06/2023,77.000
Instagram,200142,narinohoy2,30/06/2023,160
Twitter,300142,HoyNarino,30/06/2023,1.269
Facebook,100143,El Quindiano,29/06/2023,38.000
Instagram,200143,elquindiano,30/06/2023,5.030
Twitter,300143,elquindianoinfo,30/06/2023,3.756
Facebook,100144,La Crónica del Quindío,29/06/2023,218.000
Instagram,200144,cronicadelquindio,30/06/2023,61.000
Twitter,300144,croniquindio,30/06/2023,25.800
Facebook,100145,El Expreso,29/06/2023,316
Instagram,200145,elexpresodia,30/06/2023,5.297
Twitter,300145,elexpresodia,30/06/2023,1.348
Facebook,100146,Vanguardia,29/06/2023,725.000
Instagram,200146,vanguardiacom,30/06/2023,197.000
Twitter,300146,vanguardiacom,30/06/2023,369.900
Facebook,100147,A la luz pública.com,29/06/2023,28.000
Instagram,200147,alaluzpublica_oficial,30/06/2023,69
Twitter,300147,alaluzpublica1,30/06/2023,8.029
Facebook,100148,El Olfato,29/06/2023,123.000
Instagram,200148,el_olfato,30/06/2023,31.800
Twitter,300148,Elolfato,30/06/2023,20.000
Facebook,100149,El Informador Santa Marta,29/06/2023,182.000
Instagram,200149,elinformador_sm,30/06/2023,68.600
Twitter,300149,ElInformador_SM,30/06/2023,75.600
Facebook,100150,Periódico La Nación,29/06/2023,492.000
Instagram,200150,periodicolanacion,30/06/2023,1.674
Twitter,300150,PrensaLaNacion,30/06/2023,70.600
Facebook,100151,El Diario Pereira,29/06/2023,135.000
Instagram,200151,eldiariopereira,30/06/2023,30.900
Twitter,300151,eldiariopereira,30/06/2023,96.500
Facebook,100152,Mundo Noticias,29/06/2023,4.200
Instagram,200152,mundonoticias20,30/06/2023,13.300
Twitter,300152,_MundoNoticias,30/06/2023,349
Facebook,100153,El Bolivarense,29/06/2023,49.000
Instagram,200153,elbolivarense,30/06/2023,54.100
Twitter,300153,ElBolivarenseCo,30/06/2023,2.192
Facebook,100154,La Patria Manizales,29/06/2023,250.000
Instagram,200154,lapatriacom,30/06/2023,98.700
Twitter,300154,lapatriacom,30/06/2023,270.100
Facebook,100155,NULL,29/06/2023,0
Instagram,200155,NULL,30/06/2023,0
Twitter,300155,NULL,30/06/2023,0